@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute 'Current Temp' numeric
@attribute 'Atmos Pressure' numeric
@attribute Humidity numeric
@attribute 'Temp Min' numeric
@attribute 'Temp Max' numeric
@attribute Clouds numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Direction' numeric
@attribute Longitude numeric
@attribute Latitude numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric

@data
15,'2018/04/29 16:09:58:009',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
16,'2018/04/29 16:09:58:023',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
17,'2018/04/29 16:09:58:044',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
18,'2018/04/29 16:09:58:058',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
19,'2018/04/29 16:09:58:077',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
20,'2018/04/29 16:09:58:089',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
21,'2018/04/29 16:09:58:108',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
22,'2018/04/29 16:09:58:126',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
23,'2018/04/29 16:09:58:144',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
24,'2018/04/29 16:09:58:159',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
25,'2018/04/29 16:09:58:176',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
26,'2018/04/29 16:09:58:192',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
27,'2018/04/29 16:09:58:207',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
28,'2018/04/29 16:09:58:223',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
29,'2018/04/29 16:09:58:240',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
30,'2018/04/29 16:09:58:260',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
31,'2018/04/29 16:09:58:274',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
32,'2018/04/29 16:09:58:291',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
33,'2018/04/29 16:09:58:306',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
34,'2018/04/29 16:09:58:324',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
35,'2018/04/29 16:09:58:342',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
36,'2018/04/29 16:09:58:359',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
